Date,Region,Product,Quantity,UnitPrice,StoreLocation,CustomerType,Discount,Salesperson,PaymentMethod,Promotion,Returned,OrderID,CustomerName,ShippingCost,OrderDate,DeliveryDate,RegionManager,TotalPrice
2023-01-15,South,Chair,4,1265,Chennai,Retail,0.10228996903874539,Meera,Card,No,Yes,10015,Customer_14,48.488418325554306,2023-01-15,2023-01-18,Sophie,4542.412756663948
2023-01-16,West,Chair,1,1925,Chennai,Retail,0.24163988491217603,John,Card,No,Yes,10016,Customer_15,30.872907195333863,2023-01-16,2023-01-19,Sophie,1459.8432215440612
2023-01-17,South,Desk,7,1082,Bangalore,Retail,0.10158336873378976,John,UPI,No,Yes,10017,Customer_16,45.046897515054404,2023-01-17,2023-01-20,Eric,6804.607565210277
2023-01-18,Central,Desk,2,338,Mumbai,Corporate,0.016629896682370148,John,Cash,Yes,No,10018,Customer_17,34.28954768730998,2023-01-18,2023-01-21,Eric,664.7581898427178
2023-01-19,East,Chair,5,814,Chennai,Corporate,0.16625629530143735,Sara,Cash,Yes,No,10019,Customer_18,26.38609369642402,2023-01-19,2023-01-22,Ryan,3393.3368781231497
2023-01-20,South,Printer,7,1906,Mumbai,Retail,0.17637069746844436,Sara,Card,Yes,No,10020,Customer_19,43.45734032300171,2023-01-20,2023-01-23,Eric,10988.862154376015
2023-01-21,West,Chair,4,1062,Delhi,Retail,0.280362073686558,Meera,Card,No,Yes,10021,Customer_20,26.211564957784887,2023-01-21,2023-01-24,Cameron,3057.0219109795016
2023-01-22,Central,Printer,5,472,Delhi,Corporate,0.21781839781874232,Meera,UPI,Yes,No,10022,Customer_21,44.088267672966246,2023-01-22,2023-01-25,Ryan,1845.948581147768
2023-01-23,South,Desk,1,1704,Chennai,Corporate,0.27533179574833183,Meera,UPI,Yes,Yes,10023,Customer_22,18.120954630909438,2023-01-23,2023-01-26,Sophie,1234.8346200448425
2023-01-24,East,Laptop,1,615,Mumbai,Retail,0.27250416307290287,Meera,UPI,Yes,No,10024,Customer_23,10.796588319334465,2023-01-24,2023-01-27,Sophie,447.4099397101648
2023-01-25,East,Desk,15,705,Chennai,Corporate,0.18137223307747263,Amit,UPI,Yes,Yes,10025,Customer_24,43.48915089633223,2023-01-25,2023-01-28,Cameron,8656.988635205727
2023-01-26,North,Desk,19,932,Delhi,Retail,0.15832861960093425,John,UPI,No,Yes,10026,Customer_25,31.433682370670006,2023-01-26,2023-01-29,Eric,14904.316804106656
2023-01-27,North,Phone,10,1948,Chennai,Retail,0.16723229014907998,Amit,UPI,Yes,No,10027,Customer_26,45.009157921203204,2023-01-27,2023-01-30,Ryan,16222.314987895923
2023-01-28,West,Phone,18,623,Mumbai,Retail,0.2934992423031743,Amit,Card,Yes,No,10028,Customer_27,47.202224314657244,2023-01-28,2023-01-31,Ryan,7922.699496812203
2023-01-29,South,Phone,3,1630,Delhi,Corporate,0.23195030752408766,Amit,UPI,Yes,No,10029,Customer_28,7.413277566715212,2023-01-29,2023-02-01,Cameron,3755.7629962072115
2023-01-30,South,Phone,11,1791,Bangalore,Corporate,0.03187977143771875,Amit,Card,Yes,No,10030,Customer_29,27.543618583649074,2023-01-30,2023-02-02,Eric,19072.9366229055
2023-01-31,North,Printer,15,589,Delhi,Corporate,0.23352852203441996,John,Card,No,No,10031,Customer_30,21.873404708353817,2023-01-31,2023-02-03,Ryan,6771.7755078259
2023-02-01,South,Chair,11,541,Bangalore,Corporate,0.05116141466946776,Amit,Cash,No,Yes,10032,Customer_31,33.163627868155274,2023-02-01,2023-02-04,Cameron,5646.538421301997
2023-02-02,South,Laptop,17,1145,Chennai,Retail,0.1342051647016877,Meera,Card,Yes,No,10033,Customer_32,40.71160387410456,2023-02-02,2023-02-05,Ryan,16852.69646908165
2023-02-03,East,Desk,17,813,Chennai,Corporate,0.06313790165296028,Sara,Card,No,No,10034,Customer_33,17.6265597188466,2023-02-03,2023-02-06,Sophie,12948.371061254436
2023-02-04,North,Printer,6,692,Mumbai,Retail,0.20687491965996893,Meera,UPI,No,Yes,10035,Customer_34,30.055927296792724,2023-02-04,2023-02-07,Ryan,3293.0553335718087
2023-02-05,Central,Laptop,5,391,Bangalore,Retail,0.2631929208579107,Sara,Card,No,No,10036,Customer_35,36.89278609572048,2023-02-05,2023-02-08,Ryan,1440.4578397227847
2023-02-06,North,Printer,8,698,Chennai,Retail,0.08710856561000428,Meera,UPI,No,Yes,10037,Customer_36,11.04939872760803,2023-02-06,2023-02-09,Ryan,5097.585769633736
2023-02-07,Central,Printer,2,1021,Bangalore,Corporate,0.024603222362456288,Meera,UPI,Yes,No,10038,Customer_37,41.63301076780701,2023-02-07,2023-02-10,Eric,1991.7602199358644
2023-02-08,East,Desk,16,1935,Chennai,Retail,0.08954792942248897,Sara,UPI,No,No,10039,Customer_38,32.27493199338379,2023-02-08,2023-02-11,Eric,28187.59610507974
2023-02-09,West,Chair,12,1456,Delhi,Retail,0.20170855737965832,John,Cash,No,Yes,10040,Customer_39,47.72918467011433,2023-02-09,2023-02-12,Cameron,13947.74808546261
2023-02-10,South,Phone,6,426,Chennai,Corporate,0.09862803826633498,Amit,UPI,Yes,No,10041,Customer_40,20.278801360881197,2023-02-10,2023-02-13,Eric,2303.906734191248
2023-02-11,East,Chair,1,1594,Mumbai,Retail,0.08343365026614102,Meera,Card,Yes,No,10042,Customer_41,9.866567405173939,2023-02-11,2023-02-14,Ryan,1461.006761475771
2023-02-12,South,Desk,4,338,Delhi,Corporate,0.05533055717527948,John,UPI,Yes,No,10043,Customer_42,27.79255404666164,2023-02-12,2023-02-15,Ryan,1277.1930866990222
2023-02-13,West,Desk,17,1055,Mumbai,Corporate,0.14925492806233007,Amit,UPI,Yes,No,10044,Customer_43,8.861484726924749,2023-02-13,2023-02-16,Eric,15258.112865202109
2023-02-14,West,Desk,13,1016,Delhi,Corporate,0.08278464844715627,John,UPI,No,Yes,10045,Customer_44,48.628693549580305,2023-02-14,2023-02-17,Eric,12114.58036330996
2023-02-15,East,Laptop,18,1372,Bangalore,Retail,0.21930310474184495,John,Cash,Yes,Yes,10046,Customer_45,6.740823121573619,2023-02-15,2023-02-18,Ryan,19280.090525295396
2023-02-16,West,Chair,5,1338,Mumbai,Corporate,0.022986720597660815,Amit,Card,No,No,10047,Customer_46,38.90767554982886,2023-02-16,2023-02-19,Ryan,6536.218839201649
2023-02-17,Central,Chair,3,1673,Chennai,Corporate,0.19920990993339527,Meera,Cash,No,No,10048,Customer_47,28.629607916400982,2023-02-17,2023-02-20,Sophie,4019.165462044289
2023-02-18,West,Printer,11,1286,Bangalore,Corporate,0.07126800437033096,John,Card,Yes,Yes,10049,Customer_48,21.58792936242299,2023-02-18,2023-02-21,Cameron,13137.842810177297
2023-02-19,South,Printer,13,303,Chennai,Corporate,0.14678377831548092,Meera,Cash,Yes,Yes,10050,Customer_49,7.9628974028894595,2023-02-19,2023-02-22,Eric,3360.8186972153208
2023-02-20,South,Printer,4,1070,Delhi,Retail,0.08582697660937817,Meera,Card,No,No,10051,Customer_50,32.99751158781235,2023-02-20,2023-02-23,Cameron,3912.6605401118613
2023-02-21,South,Desk,14,867,Delhi,Corporate,0.21683060280323868,Meera,Cash,No,Yes,10052,Customer_51,31.334914822592985,2023-02-21,2023-02-24,Ryan,9506.110143174288
2023-02-22,South,Chair,11,472,Chennai,Retail,0.283592112075491,Amit,UPI,Yes,Yes,10053,Customer_52,17.63974728804199,2023-02-22,2023-02-25,Cameron,3719.589754104051
2023-02-23,Central,Desk,10,1229,Chennai,Corporate,0.27512303384094394,Sara,Cash,Yes,Yes,10054,Customer_53,45.959976563464046,2023-02-23,2023-02-26,Eric,8908.7379140948
2023-02-24,North,Laptop,19,1370,Bangalore,Retail,0.17502786454322733,Meera,Cash,Yes,Yes,10055,Customer_54,18.68495033042766,2023-02-24,2023-02-27,Eric,21474.024685939796
2023-02-25,East,Printer,18,383,Chennai,Corporate,0.13878309097709352,Sara,UPI,No,No,10056,Customer_55,25.237643476644777,2023-02-25,2023-02-28,Cameron,5937.229370803917
2023-02-26,South,Desk,6,1251,Mumbai,Retail,0.24549015283181452,Sara,UPI,No,Yes,10057,Customer_56,29.469310516339505,2023-02-26,2023-03-01,Eric,5663.3509128444
2023-02-27,West,Desk,15,1773,Mumbai,Corporate,0.20499790878831897,John,Card,Yes,No,10058,Customer_57,9.510434517932875,2023-02-27,2023-03-02,Sophie,21143.08061577466
2023-02-28,South,Laptop,10,1342,Chennai,Retail,0.055069234265079856,Meera,Card,No,No,10059,Customer_58,46.947277364613456,2023-02-28,2023-03-03,Ryan,12680.97087616263
2023-03-01,West,Phone,5,492,Mumbai,Retail,0.24627576408390006,Meera,Card,Yes,Yes,10060,Customer_59,21.85412686029685,2023-03-01,2023-03-04,Ryan,1854.161620353606
2023-03-02,West,Chair,5,1594,Chennai,Retail,0.12866531681841306,Meera,Cash,No,No,10061,Customer_60,8.635064624345462,2023-03-02,2023-03-05,Eric,6944.537424957248
2023-03-03,South,Phone,10,1467,Bangalore,Corporate,0.05669569799135253,Sara,Card,No,No,10062,Customer_61,22.42810281538985,2023-03-03,2023-03-06,Ryan,13838.274110466858
2023-03-04,Central,Printer,5,1803,Mumbai,Retail,0.08453920511894773,Amit,Cash,Yes,Yes,10063,Customer_62,32.00911461916613,2023-03-04,2023-03-07,Sophie,8252.879065852687
2023-03-05,West,Desk,3,1949,Mumbai,Retail,0.0802581090745027,Sara,Cash,Yes,Yes,10064,Customer_63,28.114370231959832,2023-03-05,2023-03-08,Eric,5377.730836241382
2023-03-06,West,Laptop,6,1441,Chennai,Retail,0.15576209238103803,Meera,Card,Yes,Yes,10065,Customer_64,36.25438883167733,2023-03-06,2023-03-09,Sophie,7299.280949273545
2023-03-07,South,Laptop,4,376,Mumbai,Retail,0.07031102720336264,Meera,Card,No,No,10066,Customer_65,7.496777393055979,2023-03-07,2023-03-10,Sophie,1398.2522150861425
2023-03-08,West,Chair,18,1522,Delhi,Corporate,0.03706994622047285,Meera,Cash,No,No,10067,Customer_66,17.804327462242526,2023-03-08,2023-03-11,Ryan,26380.431753343924
2023-03-09,West,Phone,9,1899,Bangalore,Retail,0.03710725518412822,Sara,UPI,Yes,No,10068,Customer_67,41.8653759578046,2023-03-09,2023-03-12,Ryan,16456.799901648064
2023-03-10,South,Chair,17,257,Bangalore,Retail,0.17498285914172898,Meera,UPI,No,No,10069,Customer_68,8.595215950611239,2023-03-10,2023-03-13,Cameron,3604.4998884097863
2023-03-11,South,Desk,13,1492,Mumbai,Retail,0.22042778665481358,John,Cash,Yes,Yes,10070,Customer_69,43.49686796131809,2023-03-11,2023-03-14,Sophie,15120.582650043236
2023-03-12,East,Chair,15,507,Mumbai,Corporate,0.09645990265150224,Meera,Card,No,No,10071,Customer_70,9.13532414346978,2023-03-12,2023-03-15,Ryan,6871.4224403353255
2023-03-13,Central,Laptop,17,1793,Delhi,Retail,0.010395212944205123,Amit,Cash,Yes,Yes,10072,Customer_71,42.55043967012633,2023-03-13,2023-03-16,Sophie,30164.143514247684
2023-03-14,Central,Laptop,13,1511,Delhi,Retail,0.03816746608110322,John,Cash,No,Yes,10073,Customer_72,21.2354780485427,2023-03-14,2023-03-17,Cameron,18893.27646376889
2023-03-15,West,Printer,16,1176,Mumbai,Retail,0.27440836810111713,Meera,Card,No,Yes,10074,Customer_73,32.54940784657471,2023-03-15,2023-03-18,Sophie,13652.73214580938
2023-03-16,Central,Printer,4,1328,Mumbai,Retail,0.1480630978768359,John,UPI,No,Yes,10075,Customer_74,11.879920204159918,2023-03-16,2023-03-19,Eric,4525.4888240782475
2023-03-17,West,Desk,5,1451,Delhi,Corporate,0.13607184288455243,Meera,Cash,No,No,10076,Customer_75,7.977592477633138,2023-03-17,2023-03-20,Cameron,6267.798779872572
2023-03-18,East,Phone,5,1470,Chennai,Retail,0.011414753493027273,Amit,UPI,Yes,Yes,10077,Customer_76,14.71721918090608,2023-03-18,2023-03-21,Cameron,7266.10156182625
2023-03-19,South,Chair,9,899,Delhi,Retail,0.21859110669506973,Meera,UPI,No,No,10078,Customer_77,10.7534218058913,2023-03-19,2023-03-22,Sophie,6322.379355730191
2023-03-20,South,Desk,17,1717,Chennai,Corporate,0.15842042427962366,John,Card,Yes,Yes,10079,Customer_78,19.05826539558343,2023-03-20,2023-03-23,Sophie,24564.866235702066
2023-03-21,South,Printer,13,282,Bangalore,Corporate,0.06062428082595623,Amit,Cash,Yes,Yes,10080,Customer_79,28.147246092995907,2023-03-21,2023-03-24,Ryan,3443.7513864920443
2023-03-22,Central,Chair,2,1409,Bangalore,Corporate,0.03302212805431715,Sara,Cash,Yes,Yes,10081,Customer_80,31.49417586042543,2023-03-22,2023-03-25,Eric,2724.9436431429344
2023-03-23,East,Printer,13,451,Delhi,Retail,0.11501635908959955,Amit,UPI,Yes,No,10082,Customer_81,40.54406483208843,2023-03-23,2023-03-26,Cameron,5188.659086657678
2023-03-24,Central,Chair,19,1578,Chennai,Corporate,0.2511485892585077,Amit,UPI,No,Yes,10083,Customer_82,34.53079519617614,2023-03-24,2023-03-27,Cameron,22452.062996851422
2023-03-25,Central,Phone,3,1973,Delhi,Retail,0.25958836776030736,Amit,Card,Yes,Yes,10084,Customer_83,32.39412463082988,2023-03-25,2023-03-28,Cameron,4382.496451226741
2023-03-26,East,Desk,10,1919,Delhi,Corporate,0.18085391411869092,John,UPI,No,Yes,10085,Customer_84,23.53019123685986,2023-03-26,2023-03-29,Ryan,15719.413388062321
2023-03-27,East,Chair,2,995,Chennai,Retail,0.2182609281690428,Amit,Card,No,Yes,10086,Customer_85,26.32137957320624,2023-03-27,2023-03-30,Eric,1555.6607529436046
2023-03-28,East,Laptop,13,1096,Delhi,Corporate,0.03454673622086111,Meera,Cash,No,No,10087,Customer_86,23.653437322558148,2023-03-28,2023-03-31,Cameron,13755.77810232517
2023-03-29,East,Laptop,19,409,Bangalore,Retail,0.17643781964035646,Amit,Card,No,No,10088,Customer_87,42.89747135276224,2023-03-29,2023-04-01,Cameron,6399.90170357479
2023-03-30,South,Chair,17,1015,Mumbai,Corporate,0.20008971104615453,Amit,UPI,Yes,Yes,10089,Customer_88,15.350020364677993,2023-03-30,2023-04-02,Ryan,13802.452035898603
2023-03-31,North,Chair,14,808,Mumbai,Retail,0.06021385287413766,Meera,Cash,No,Yes,10090,Customer_89,5.257441919388408,2023-03-31,2023-04-03,Sophie,10630.860896287755
2023-04-01,North,Chair,12,646,Delhi,Retail,0.26404641987307764,Meera,Card,Yes,No,10091,Customer_90,34.30939537518077,2023-04-01,2023-04-04,Cameron,5705.112153143902
2023-04-02,East,Laptop,12,659,Chennai,Retail,0.058499021256305926,Sara,Cash,No,No,10092,Customer_91,14.110798263747412,2023-04-02,2023-04-05,Eric,7445.389739905133
2023-04-03,North,Laptop,11,1167,Chennai,Retail,0.09404320795393513,Amit,Card,No,No,10093,Customer_92,45.05518113394142,2023-04-03,2023-04-06,Eric,11629.767339495334
2023-04-04,North,Chair,7,671,Bangalore,Retail,0.18616705410703757,John,UPI,Yes,Yes,10094,Customer_93,43.65708483679952,2023-04-04,2023-04-07,Eric,3822.5733468592443
2023-04-05,East,Printer,4,1943,Chennai,Retail,0.19150501953921922,Amit,UPI,No,No,10095,Customer_94,8.452731736769266,2023-04-05,2023-04-08,Eric,6283.622988141188
2023-04-06,North,Printer,19,569,Chennai,Retail,0.20981542229621017,Amit,Cash,No,Yes,10096,Customer_95,9.78747824363348,2023-04-06,2023-04-09,Ryan,8542.685469555672
2023-04-07,Central,Phone,1,1099,Bangalore,Retail,0.0336035139204617,Meera,Cash,No,No,10097,Customer_96,27.282721651099983,2023-04-07,2023-04-10,Cameron,1062.0697382014125
2023-04-08,West,Desk,3,1715,Delhi,Corporate,0.2548393289785666,Sara,Cash,No,No,10098,Customer_97,32.415019824620956,2023-04-08,2023-04-11,Ryan,3833.8516524052748
2023-04-09,West,Printer,13,1122,Mumbai,Retail,0.15985413968497794,Amit,Card,No,Yes,10099,Customer_98,17.370875186700836,2023-04-09,2023-04-12,Eric,12254.367518554911
2023-04-10,East,Laptop,15,336,Bangalore,Retail,0.1413965382315205,John,UPI,Yes,No,10100,Customer_99,37.25589725147168,2023-04-10,2023-04-13,Eric,4327.3614473131365
2023-04-11,South,Printer,2,566,Delhi,Corporate,0.29432928735405284,Amit,Cash,No,Yes,10101,Customer_100,31.77122094134922,2023-04-11,2023-04-14,Eric,798.8192467152122
2023-04-12,East,Phone,11,1111,Bangalore,Retail,0.2221134890823059,John,Cash,No,No,10102,Customer_101,19.61708493868496,2023-04-12,2023-04-15,Ryan,9506.55104992514
2023-04-13,South,Phone,4,383,Delhi,Corporate,0.03540180798581246,Meera,Cash,Yes,Yes,10103,Customer_102,6.141716961904201,2023-04-13,2023-04-16,Eric,1477.7644301657353
2023-04-14,West,Desk,19,1811,Bangalore,Retail,0.2269617501678722,Sara,Card,No,No,10104,Customer_103,38.756762658433296,2023-04-14,2023-04-17,Cameron,26599.473138473684
2023-04-15,East,Printer,17,1510,Delhi,Corporate,0.028574680191860845,Amit,Cash,Yes,No,10105,Customer_104,14.663914962128722,2023-04-15,2023-04-18,Eric,24936.487959474933
2023-04-16,Central,Laptop,3,671,Bangalore,Corporate,0.008241168753895455,Sara,Cash,No,Yes,10106,Customer_105,42.551318455818276,2023-04-16,2023-04-19,Cameron,1996.4105272984084
2023-04-17,North,Laptop,18,1598,Delhi,Retail,0.12108776858096913,Amit,Card,No,Yes,10107,Customer_106,23.91306170244148,2023-04-17,2023-04-20,Cameron,25281.031424537003
2023-04-18,South,Chair,8,853,Bangalore,Corporate,0.2980734518457656,John,Card,Yes,Yes,10108,Customer_107,30.968484918429443,2023-04-18,2023-04-21,Eric,4789.946764604495
2023-04-19,North,Laptop,19,948,Mumbai,Retail,0.05246518085845879,Sara,Cash,No,Yes,10109,Customer_108,44.282692868405086,2023-04-19,2023-04-22,Ryan,17066.99716237744
2023-04-20,North,Desk,5,736,Mumbai,Retail,0.201793303058037,Amit,Cash,No,No,10110,Customer_109,43.8630350413979,2023-04-20,2023-04-23,Sophie,2937.400644746424
2023-04-21,East,Desk,7,1734,Chennai,Retail,0.052018819861835805,Meera,Card,Yes,No,10111,Customer_110,21.718380885960798,2023-04-21,2023-04-24,Sophie,11506.595564517038
2023-04-22,North,Laptop,8,1001,Delhi,Retail,0.2174360924875158,John,UPI,Yes,No,10112,Customer_111,14.40000017216794,2023-04-22,2023-04-25,Cameron,6266.771771359973
2023-04-23,Central,Laptop,5,1802,Bangalore,Corporate,0.15160610047134784,Sara,Card,No,No,10113,Customer_112,39.88157349778676,2023-04-23,2023-04-26,Ryan,7644.029034753156
2023-04-24,North,Chair,17,1473,Delhi,Retail,0.20399151302681287,Amit,UPI,Yes,No,10114,Customer_113,24.4886091620959,2023-04-24,2023-04-27,Sophie,19932.84852229558
2023-04-25,East,Laptop,5,1119,Mumbai,Corporate,0.060861952774270374,Sara,Cash,No,No,10115,Customer_114,13.641889710155183,2023-04-25,2023-04-28,Eric,5254.477374227957
2023-04-26,Central,Chair,4,709,Delhi,Corporate,0.2236884997561506,Amit,Cash,Yes,Yes,10116,Customer_115,45.69914040427176,2023-04-26,2023-04-29,Eric,2201.619414691557
2023-04-27,West,Chair,19,829,Bangalore,Retail,0.298685717886812,John,UPI,No,No,10117,Customer_116,13.914688740848932,2023-04-27,2023-04-30,Cameron,11046.401257564825
2023-04-28,North,Laptop,2,1201,Delhi,Retail,0.1996951501877879,Meera,Card,Yes,No,10118,Customer_117,6.1613225686053985,2023-04-28,2023-05-01,Ryan,1922.3322492489333
2023-04-29,East,Phone,11,1296,Bangalore,Retail,0.1480439994218633,John,Cash,Yes,Yes,10119,Customer_118,5.9125988195338985,2023-04-29,2023-05-02,Ryan,12145.484744241916
2023-04-30,West,Phone,13,1505,Mumbai,Retail,0.2769521965857794,Sara,UPI,Yes,No,10120,Customer_119,33.004191040441896,2023-04-30,2023-05-03,Sophie,14146.430273799226
2023-05-01,West,Chair,15,1115,Mumbai,Corporate,0.00475555266956289,Sara,Card,Yes,No,10121,Customer_120,34.77537773228887,2023-05-01,2023-05-04,Sophie,16645.463381601563
2023-05-02,South,Laptop,12,1583,Mumbai,Retail,0.21897705578574633,Amit,UPI,Yes,No,10122,Customer_121,18.996876727564278,2023-05-02,2023-05-05,Eric,14836.311848293963
2023-05-03,Central,Phone,11,1233,Chennai,Corporate,0.2666239550441439,John,Card,Yes,Yes,10123,Customer_122,19.400494516117853,2023-05-03,2023-05-06,Cameron,9946.779297736277
2023-05-04,North,Laptop,7,1434,Mumbai,Retail,0.018502375086287236,Amit,Card,Yes,Yes,10124,Customer_123,20.277226177697422,2023-05-04,2023-05-07,Ryan,9852.273158883849
2023-05-05,East,Laptop,5,351,Delhi,Retail,0.13501925112472746,John,Card,Yes,No,10125,Customer_124,35.607134604149536,2023-05-05,2023-05-08,Sophie,1518.0412142761033
2023-05-06,South,Laptop,17,1228,Chennai,Retail,0.06141583618499967,Sara,Card,Yes,Yes,10126,Customer_125,7.616020596207287,2023-05-06,2023-05-09,Sophie,19593.883003801948
2023-05-07,Central,Printer,9,1418,Mumbai,Retail,0.169955449676349,Amit,UPI,No,No,10127,Customer_126,46.810235871109654,2023-05-07,2023-05-10,Cameron,10593.028551230434
2023-05-08,South,Laptop,14,1506,Delhi,Corporate,0.19486288758109815,Amit,UPI,Yes,No,10128,Customer_127,15.01344698798509,2023-05-08,2023-05-11,Cameron,16975.510878240126
2023-05-09,Central,Printer,12,663,Delhi,Corporate,0.0907869548786265,John,UPI,No,No,10129,Customer_128,49.98529423589415,2023-05-09,2023-05-12,Eric,7233.698986985647
2023-05-10,Central,Chair,6,1336,Delhi,Retail,0.13799450090343024,Meera,UPI,Yes,Yes,10130,Customer_129,12.718521220423415,2023-05-10,2023-05-13,Cameron,6909.836080758103
2023-05-11,North,Phone,17,470,Bangalore,Corporate,0.08380184558296784,John,UPI,No,No,10131,Customer_130,39.719590579056984,2023-05-11,2023-05-14,Eric,7320.423253792087
2023-05-12,Central,Phone,19,1386,Chennai,Corporate,0.11081734933653413,Meera,Card,No,No,10132,Customer_131,15.053564521833126,2023-05-12,2023-05-15,Eric,23415.735922571712
2023-05-13,South,Phone,19,659,Delhi,Retail,0.04786198700652707,John,Cash,Yes,No,10133,Customer_132,8.638106073946428,2023-05-13,2023-05-16,Cameron,11921.720060691274
2023-05-14,Central,Phone,16,304,Bangalore,Retail,0.2656678330756894,Sara,Cash,Yes,No,10134,Customer_133,44.3719995957792,2023-05-14,2023-05-17,Cameron,3571.7916599198466
2023-05-15,North,Phone,12,1916,Mumbai,Corporate,0.0030031231677409287,Amit,UPI,No,No,10135,Customer_134,43.643806663590134,2023-05-15,2023-05-18,Cameron,22922.9521921273
2023-05-16,North,Phone,12,1779,Delhi,Corporate,0.26472275593313654,John,UPI,No,Yes,10136,Customer_135,23.16066766023206,2023-05-16,2023-05-19,Cameron,15696.698606339402
2023-05-17,South,Phone,6,1505,Bangalore,Corporate,0.17150366350492155,Sara,Cash,Yes,No,10137,Customer_136,36.607826414319206,2023-05-17,2023-05-20,Cameron,7481.321918550559
2023-05-18,West,Chair,4,1910,Delhi,Corporate,0.09949735325310524,John,Card,Yes,Yes,10138,Customer_137,30.067966970776272,2023-05-18,2023-05-21,Eric,6879.840221146275
2023-05-19,West,Laptop,6,361,Chennai,Retail,0.21691713763809892,Amit,UPI,Yes,No,10139,Customer_138,43.383025115318695,2023-05-19,2023-05-22,Sophie,1696.1574798758777
2023-05-20,Central,Desk,11,550,Chennai,Retail,0.1523256455587993,John,Card,No,Yes,10140,Customer_139,19.177518619339452,2023-05-20,2023-05-23,Ryan,5128.429844369264
2023-05-21,East,Printer,1,633,Mumbai,Corporate,0.14973259743228196,Meera,Cash,Yes,No,10141,Customer_140,28.565257999954333,2023-05-21,2023-05-24,Ryan,538.2192658253655
2023-05-22,Central,Desk,15,1051,Delhi,Retail,0.03304268487568993,Amit,Cash,Yes,No,10142,Customer_141,26.84175670420477,2023-05-22,2023-05-25,Eric,15244.082072934747
2023-05-23,South,Desk,11,339,Bangalore,Corporate,0.1168548077836226,Meera,UPI,Yes,Yes,10143,Customer_142,20.925762181558643,2023-05-23,2023-05-26,Eric,3293.2484217748715
2023-05-24,South,Laptop,19,1694,Mumbai,Corporate,0.07231930375702099,Sara,Card,Yes,Yes,10144,Customer_143,45.11547790503675,2023-05-24,2023-05-27,Sophie,29858.330889276524
2023-05-25,South,Laptop,18,1355,Delhi,Retail,0.004708771678883894,Sara,UPI,Yes,No,10145,Customer_144,12.464506609814096,2023-05-25,2023-05-28,Cameron,24275.153058752025
2023-05-26,South,Laptop,17,286,Mumbai,Corporate,0.10802988923463398,John,Cash,No,Yes,10146,Customer_145,11.727888778431327,2023-05-26,2023-05-29,Eric,4336.7586785412095
